,count,percent
Martin Luther King,12,0.001745962461807071
Jewish fiction,12,0.001745962461807071
Jewish history,12,0.001745962461807071
Jewish humor,12,0.001745962461807071
Leonard Bernstein,12,0.001745962461807071
recipes,12,0.001745962461807071
Black Lives Matter,12,0.001745962461807071
Greece,12,0.001745962461807071
MoMa,12,0.001745962461807071
alt-right,12,0.001745962461807071
Bernard Madoff,12,0.001745962461807071
9/11,12,0.001745962461807071
Yom Kippur do,12,0.001745962461807071
NFL,12,0.001745962461807071
kosher restaurants,12,0.001745962461807071
Ed Koch,12,0.001745962461807071
Manhattan,12,0.001745962461807071
Jeffrey Goldberg,12,0.001745962461807071
German Jews,12,0.001745962461807071
Benny Morris,11,0.0016004655899898152
1950s,11,0.0016004655899898152
Arthur Miller,11,0.0016004655899898152
Judith Butler,11,0.0016004655899898152
Valentine's Day,11,0.0016004655899898152
sexuality,11,0.0016004655899898152
Tehran,11,0.0016004655899898152
humor,11,0.0016004655899898152
Menachem Mendel Schneerson,11,0.0016004655899898152
football,11,0.0016004655899898152
Bronx,11,0.0016004655899898152
Maidan,11,0.0016004655899898152
documentary,11,0.0016004655899898152
abortion,11,0.0016004655899898152
AIDS,11,0.0016004655899898152
veterans,11,0.0016004655899898152
ADL,11,0.0016004655899898152
Greenwich Village,11,0.0016004655899898152
Tea Party,11,0.0016004655899898152
Amos Oz,11,0.0016004655899898152
Shmuley Boteach,11,0.0016004655899898152
2016 Presidential Campaign,11,0.0016004655899898152
1967 War,11,0.0016004655899898152
rugelach,11,0.0016004655899898152
Passover Arts and Culture,11,0.0016004655899898152
Nobel Prize,11,0.0016004655899898152
Vegan,11,0.0016004655899898152
Jesus,11,0.0016004655899898152
suicide,11,0.0016004655899898152
Yisrael Beiteinu,11,0.0016004655899898152
Brighton Beach,11,0.0016004655899898152
etrog,11,0.0016004655899898152
Gershom Scholem,11,0.0016004655899898152
musical theater,11,0.0016004655899898152
settler movement,11,0.0016004655899898152
Rosh Hashanah Observance,11,0.0016004655899898152
Meir Kahane,11,0.0016004655899898152
News of the News,11,0.0016004655899898152
New Orleans,11,0.0016004655899898152
Marcel Proust,11,0.0016004655899898152
Tony Judt,11,0.0016004655899898152
Obama,11,0.0016004655899898152
Richard Wagner,11,0.0016004655899898152
rap,11,0.0016004655899898152
breast cancer,11,0.0016004655899898152
restaurants,11,0.0016004655899898152
Catskills,11,0.0016004655899898152
Al Jazeera,11,0.0016004655899898152
Aleppo,11,0.0016004655899898152
Holiday FAQ,11,0.0016004655899898152
Schindler's List,11,0.0016004655899898152
conversos,11,0.0016004655899898152
Lincoln Center,11,0.0016004655899898152
cooking,11,0.0016004655899898152
Walter Benjamin,11,0.0016004655899898152
WWII,11,0.0016004655899898152
tzniut,11,0.0016004655899898152
tznius,11,0.0016004655899898152
Bashar Assad,11,0.0016004655899898152
campus life,11,0.0016004655899898152
Allen Ginsberg,11,0.0016004655899898152
Alfred Dreyfus,11,0.0016004655899898152
Inquisition,11,0.0016004655899898152
Civil War,11,0.0016004655899898152
Islamic State,11,0.0016004655899898152
Lithuania,11,0.0016004655899898152
Louis Brandeis,11,0.0016004655899898152
Alan Dershowitz,11,0.0016004655899898152
Passover do,11,0.0016004655899898152
Moscow,11,0.0016004655899898152
Emma Lazarus,11,0.0016004655899898152
Warsaw Ghetto Uprising,11,0.0016004655899898152
Passover 2018,11,0.0016004655899898152
tefillin,11,0.0016004655899898152
Joshua Cohen,10,0.0014549687181725592
Jared Kushner,10,0.0014549687181725592
publishing,10,0.0014549687181725592
Daphne Merkin,10,0.0014549687181725592
Hasidim,10,0.0014549687181725592
Salam Fayyad,10,0.0014549687181725592
brisket,10,0.0014549687181725592
comic books,10,0.0014549687181725592
PLO,10,0.0014549687181725592
Cairo Geniza,10,0.0014549687181725592
British anti-Semitism,10,0.0014549687181725592
documentaries,10,0.0014549687181725592
Tahrir Square,10,0.0014549687181725592
Ottoman Empire,10,0.0014549687181725592
apartheid,10,0.0014549687181725592
Robert Alter,10,0.0014549687181725592
identity politics,10,0.0014549687181725592
Judaica,10,0.0014549687181725592
Miami,10,0.0014549687181725592
Lionel Trilling,10,0.0014549687181725592
Andre Aciman,10,0.0014549687181725592
college,10,0.0014549687181725592
soviet emigres,10,0.0014549687181725592
bullying,10,0.0014549687181725592
Farrar Straus and Giroux,10,0.0014549687181725592
young adult books,10,0.0014549687181725592
Lenny Bruce,10,0.0014549687181725592
Iraq War,10,0.0014549687181725592
academia,10,0.0014549687181725592
Russian Jews,10,0.0014549687181725592
Fatah,10,0.0014549687181725592
Leon Wieseltier,10,0.0014549687181725592
Second Lebanon War,10,0.0014549687181725592
Iran nuclear negotiations,10,0.0014549687181725592
Timothy Snyder,10,0.0014549687181725592
Queens,10,0.0014549687181725592
Passover Haggadah,10,0.0014549687181725592
Passover 2017,10,0.0014549687181725592
passover 2016,10,0.0014549687181725592
Lena Dunham,10,0.0014549687181725592
Irgun,10,0.0014549687181725592
Hanukkah gifts,10,0.0014549687181725592
Walt Whitman,10,0.0014549687181725592
Shiite,10,0.0014549687181725592
eruv,10,0.0014549687181725592
David Bezmozgis,10,0.0014549687181725592
Boston,10,0.0014549687181725592
